contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK261218C01560000,2026-09-08 18:22:27+00:00,1560.0,437.9,384.5,396.3,0.0,0.0,1,46,0.799203973312378,True,REGULAR,USD
SNDK261218C01570000,2026-09-08 15:13:30+00:00,1570.0,415.0,379.0,391.0,0.0,0.0,1,22,0.7988911712646485,True,REGULAR,USD
SNDK261218C01580000,2026-09-09 13:55:19+00:00,1580.0,398.12,378.1,384.3,38.22,10.6196165,2,300,0.8032398826599121,True,REGULAR,USD
SNDK261218C01590000,2026-09-08 15:58:28+00:00,1590.0,419.01,367.7,380.5,0.0,0.0,3,186,0.7974454154586791,True,REGULAR,USD
SNDK261218C01600000,2026-09-09 18:37:05+00:00,1600.0,374.57,367.8,373.9,6.1700134,1.6748136,33,333,0.8030224470901489,True,REGULAR,USD
SNDK261218C01610000,2026-09-08 18:22:27+00:00,1610.0,411.9,357.6,370.2,0.0,0.0,1,19,0.7973996395492553,True,REGULAR,USD
SNDK261218C01620000,2026-09-04 16:33:52+00:00,1620.0,338.11,357.6,363.8,0.0,0.0,2,225,0.8027058303833007,True,REGULAR,USD
SNDK261218C01630000,2026-09-04 13:46:00+00:00,1630.0,270.0,348.8,360.2,0.0,0.0,2,112,0.7990056110382081,True,REGULAR,USD
SNDK261218C01640000,2026-09-04 19:27:48+00:00,1640.0,328.31,344.4,355.3,0.0,0.0,3,12,0.7996846203613281,True,REGULAR,USD
SNDK261218C01650000,2026-09-09 18:00:58+00:00,1650.0,350.0,342.5,348.1,-16.0,-4.371585,5,140,0.8004780694580078,True,REGULAR,USD
SNDK261218C01660000,2026-09-09 13:57:17+00:00,1660.0,361.42,334.7,345.6,32.54001,9.894189,1,20,0.7993718183135986,True,REGULAR,USD
SNDK261218C01670000,2026-09-09 13:55:19+00:00,1670.0,353.12,329.5,340.9,-25.880005,-6.8284974,1,40,0.7986851796722412,True,REGULAR,USD
