contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SNDK270115P00110000,2026-08-28 15:11:57+00:00,110.0,0.1,0.0,7.5,0.0,0.0,5.0,299,2.148564198913574,False,REGULAR,USD
SNDK270115P00115000,2026-08-13 14:40:20+00:00,115.0,0.16,0.0,7.5,0.0,0.0,1.0,91,2.108647306518554,False,REGULAR,USD
SNDK270115P00120000,2026-08-25 18:23:14+00:00,120.0,0.23,0.0,5.6,0.0,0.0,2.0,464,1.9780274536132816,False,REGULAR,USD
SNDK270115P00125000,2026-08-13 19:50:33+00:00,125.0,0.15,0.0,0.5,0.0,0.0,40.0,252,1.455080849609375,False,REGULAR,USD
SNDK270115P00130000,2026-08-14 16:28:58+00:00,130.0,0.52,0.0,5.2,0.0,0.0,2.0,300,1.8901372680664061,False,REGULAR,USD
SNDK270115P00135000,2026-08-11 16:16:35+00:00,135.0,0.23,0.0,9.3,0.0,0.0,21.0,71,2.0378467022705085,False,REGULAR,USD
SNDK270115P00140000,2026-08-20 13:59:03+00:00,140.0,0.2,0.0,1.0,0.0,0.0,2.0,493,1.4882838085937498,False,REGULAR,USD
SNDK270115P00145000,2026-08-12 14:00:07+00:00,145.0,0.31,0.0,0.5,0.0,0.0,2.0,128,1.3662141064453124,False,REGULAR,USD
SNDK270115P00150000,2026-08-31 16:55:17+00:00,150.0,0.25,0.1,0.25,0.0,0.0,4.0,395,1.3027378613281246,False,REGULAR,USD
SNDK270115P00155000,2026-08-20 15:25:59+00:00,155.0,0.17,0.0,9.2,0.0,0.0,2.0,112,1.9099125598144533,False,REGULAR,USD
SNDK270115P00160000,2026-08-25 13:53:01+00:00,160.0,0.01,0.0,10.0,0.0,0.0,2.0,297,1.9083256536865236,False,REGULAR,USD
SNDK270115P00165000,2026-08-11 19:10:13+00:00,165.0,0.35,0.0,10.0,0.0,0.0,14.0,212,1.8807379010009764,False,REGULAR,USD
SNDK270115P00170000,2026-08-17 13:54:54+00:00,170.0,0.23,0.0,9.6,0.0,0.0,3.0,81,1.8414314569091796,False,REGULAR,USD
SNDK270115P00175000,2026-08-19 16:39:14+00:00,175.0,0.26,0.0,0.5,0.0,0.0,232.0,531,1.2548865380859375,False,REGULAR,USD
SNDK270115P00180000,2026-08-28 14:35:12+00:00,180.0,0.15,0.0,2.7,0.0,0.0,73.0,1251,1.4897486450195312,False,REGULAR,USD
SNDK270115P00185000,2026-08-17 17:01:25+00:00,185.0,0.2,0.0,9.3,0.0,0.0,43.0,149,1.7578137109375,False,REGULAR,USD
SNDK270115P00190000,2026-09-01 18:57:02+00:00,190.0,0.24,0.0,2.45,0.0,0.0,204.0,1309,1.43359658203125,False,REGULAR,USD
SNDK270115P00195000,2026-09-02 15:02:53+00:00,195.0,0.25,0.2,0.35,0.0,0.0,11.0,3490,1.2021524267578125,False,REGULAR,USD
SNDK270115P00200000,2026-09-01 13:49:26+00:00,200.0,0.25,0.2,0.35,0.0,0.0,360.0,4630,1.1875040625,False,REGULAR,USD
SNDK270115P00210000,2026-09-01 18:57:02+00:00,210.0,0.31,0.0,1.9,0.0,0.0,204.0,2246,1.3222690136718749,False,REGULAR,USD
SNDK270115P00220000,2026-08-27 18:44:10+00:00,220.0,0.41,0.25,0.5,0.0,0.0,106.0,1032,1.1665080737304687,False,REGULAR,USD
SNDK270115P00230000,2026-08-31 18:57:14+00:00,230.0,0.5,0.0,3.9,0.0,0.0,1.0,663,1.3811066101074214,False,REGULAR,USD
SNDK270115P00240000,2026-08-27 18:42:26+00:00,240.0,0.47,0.0,2.95,0.0,0.0,4.0,570,1.3012730249023434,False,REGULAR,USD
SNDK270115P00250000,2026-08-31 15:11:59+00:00,250.0,0.38,0.0,0.55,0.0,0.0,2.0,13645,1.056645341796875,False,REGULAR,USD
SNDK270115P00260000,2026-09-01 16:15:57+00:00,260.0,0.41,0.0,0.45,0.0,0.0,1.0,438,1.0146533642578124,False,REGULAR,USD
SNDK270115P00270000,2026-09-01 13:30:22+00:00,270.0,0.5,0.0,0.8,-0.19999999,-28.571426,3.0,505,1.0502977172851562,False,REGULAR,USD
SNDK270115P00280000,2026-08-28 14:22:41+00:00,280.0,0.6,0.0,0.75,0.0,0.0,2.0,214,1.0219775463867187,False,REGULAR,USD
SNDK270115P00290000,2026-09-02 15:00:25+00:00,290.0,0.59,0.4,0.85,0.03999996,7.2727203,38.0,412,1.0561570629882815,False,REGULAR,USD
SNDK270115P00300000,2026-09-02 14:14:28+00:00,300.0,0.6,0.45,0.85,0.0,0.0,3.0,4702,1.0393114440917972,False,REGULAR,USD
SNDK270115P00310000,2026-08-27 18:50:50+00:00,310.0,0.8,0.0,3.4,0.0,0.0,14.0,290,1.1433148303222658,False,REGULAR,USD
SNDK270115P00320000,2026-08-31 14:22:13+00:00,320.0,0.7,0.1,1.5,0.0,0.0,1.0,335,1.0224658251953125,False,REGULAR,USD
SNDK270115P00330000,2026-08-28 18:56:25+00:00,330.0,0.73,0.0,3.5,0.0,0.0,12.0,247,1.1036421771240237,False,REGULAR,USD
SNDK270115P00340000,2026-08-20 17:02:29+00:00,340.0,1.38,0.0,3.3,0.0,0.0,1.0,114,1.0743454486083988,False,REGULAR,USD
SNDK270115P00350000,2026-09-02 14:30:23+00:00,350.0,0.85,0.8,2.2,0.19,28.787878,1.0,723,1.041264559326172,False,REGULAR,USD
SNDK270115P00360000,2026-09-02 13:46:58+00:00,360.0,0.93,0.7,1.2,-0.57,-38.0,66.0,206,0.9660647924804688,False,REGULAR,USD
SNDK270115P00370000,2026-08-27 18:54:31+00:00,370.0,1.26,0.0,3.5,0.0,0.0,6.0,96,1.0234423828125,False,REGULAR,USD
SNDK270115P00380000,2026-08-27 14:00:00+00:00,380.0,1.1,0.8,2.3,0.0,0.0,1.0,166,0.9890137817382813,False,REGULAR,USD
SNDK270115P00390000,2026-08-24 18:19:35+00:00,390.0,1.77,0.7,1.7,0.0,0.0,6.0,57,0.940430283203125,False,REGULAR,USD
SNDK270115P00400000,2026-09-02 14:24:08+00:00,400.0,1.3,1.05,1.5,0.14999998,13.043477,8.0,1466,0.9305426867675781,False,REGULAR,USD
SNDK270115P00410000,2026-09-02 14:12:28+00:00,410.0,1.37,1.2,1.8,-0.13,-8.666667,8.0,165,0.9331061376953125,False,REGULAR,USD
SNDK270115P00420000,2026-09-02 14:05:16+00:00,420.0,1.5,0.05,3.4,0.20000005,15.384619,1.0,129,0.9334723449707032,False,REGULAR,USD
SNDK270115P00430000,2026-08-28 17:18:22+00:00,430.0,1.6,0.0,3.8,0.0,0.0,1.0,229,0.9290778576660157,False,REGULAR,USD
SNDK270115P00440000,2026-08-31 19:50:06+00:00,440.0,1.55,0.0,3.9,0.0,0.0,1.0,642,0.9162606030273439,False,REGULAR,USD
SNDK270115P00450000,2026-08-28 18:02:03+00:00,450.0,1.86,0.0,3.9,0.0,0.0,4.0,135,0.9005136901855468,False,REGULAR,USD
SNDK270115P00460000,2026-08-21 19:14:35+00:00,460.0,2.99,1.0,3.0,0.0,0.0,8.0,71,0.8881847119140623,False,REGULAR,USD
SNDK270115P00470000,2026-08-27 13:30:05+00:00,470.0,5.14,0.0,4.2,0.0,0.0,1.0,67,0.8789074609374999,False,REGULAR,USD
SNDK270115P00480000,2026-08-27 19:08:21+00:00,480.0,2.83,0.0,4.3,0.0,0.0,10.0,653,0.8669446899414062,False,REGULAR,USD
SNDK270115P00490000,2026-09-01 16:29:50+00:00,490.0,1.8,2.0,2.7,0.0,0.0,3.0,123,0.8630384790039063,False,REGULAR,USD
SNDK270115P00500000,2026-09-02 14:42:59+00:00,500.0,2.2,2.2,2.75,-0.45000005,-16.981133,54.0,633,0.8548598498535156,False,REGULAR,USD
SNDK270115P00510000,2026-09-01 17:28:04+00:00,510.0,2.5,2.2,3.2,0.0,0.0,1.0,72,0.8512588116455078,False,REGULAR,USD
SNDK270115P00520000,2026-08-28 17:18:22+00:00,520.0,3.3,0.1,4.9,0.0,0.0,1.0,91,0.8278825805664061,False,REGULAR,USD
SNDK270115P00530000,2026-08-31 14:34:09+00:00,530.0,2.79,2.3,5.2,0.0,0.0,1.0,633,0.8652357226562499,False,REGULAR,USD
SNDK270115P00540000,2026-08-31 14:34:09+00:00,540.0,3.2,2.8,3.7,0.0,0.0,1.0,68,0.8324601715087889,False,REGULAR,USD
SNDK270115P00550000,2026-09-02 14:30:33+00:00,550.0,3.57,3.2,3.9,0.56999993,18.999998,1.0,805,0.8300187896728515,False,REGULAR,USD
SNDK270115P00560000,2026-08-28 15:49:08+00:00,560.0,4.28,3.5,4.4,0.0,0.0,6.0,795,0.8302629278564453,False,REGULAR,USD
SNDK270115P00570000,2026-08-31 18:24:43+00:00,570.0,4.0,3.7,5.1,0.0,0.0,1.0,89,0.831056376953125,False,REGULAR,USD
